pop1,pop2,mean_pairwise_IBD_length,lat,long
Kazakh-West,Baloch,0.573,30.5,66.5
Norwegian,Jew-Uzbek,1.613,41.31,69.29
Czechia-AJ,Ossetian,1.57,43.07,44.23
Slovakian,Georgian,1.759,41.96,42.06
Abkhasian,Pashtun,1.012,33.49,70.5
Pashtun,Komi,1.586,61.87,51.43
Basque-France,Armenian,1.864,40.2,44.39
Circassian,Kazakh-East,1.521,44,87.46
Ossetian,Nogai,3.582,44.82,43.22
Tabasaran,Roman-Iberia,1.336,40.67,-3.14
Lezgin,Ukraine-AJ,1.784,50.43,30.52
Tuscan,Tatar-Volga,2.53,54.19,52.71
Balkar,Belarusian,2.714,53.64,27.47
Mozabite,Iranian-Central,0.724,31.43,51.07
BedouinB,Ukraine-AJ,1.405,50.43,30.52
Armenian,Yemenite-Highlands,1.18,14.34,44.68
BedouinA,Germany-AJ,1.758,52.52,13.4
Icelandic,Germany-AJ,3.127,52.52,13.4
Hungary-AJ,Roman-Iberia,1.995,40.67,-3.14
Jew-Italian,Circassian,1.594,44.28,41.55
Russian-Arctic,Palestinian,1.401,32.13,35.04
Egyptian,Russian-Central,0.919,57.19,38.52
Iranian-North,Baloch,1.576,30.5,66.5
Sindhi,Jew-Bulgarian,0.939,42.68,23.32
Greek-South,Roman-Iberia,2.189,40.67,-3.14
Italian-Northwest,Belarusian,3.702,53.64,27.47
Uzbek-East,Druze,0.656,32.05,35.02
German,Tajik,2.355,38.41,69.6
Greek-North,Chuvash,3.6,55.33,48.74
Baloch,Tatar-Volga,1.678,54.19,52.71
Kabardian,Tatar-Volga,2.886,54.19,52.71
Ukranian-Central,Pole,15.083,51.98,19.4
Sicilian-West,Corsican,2.453,42.04,9.01
Udmurt,Bashkir,16.778,54.32,56.12
Kazakh-West,Swede,1.513,59.31,18
Czechia-AJ,Turk-Northwest,1.943,40.4,28.56
Norwegian,Greek-North,3.224,40.64,22.94
Slovakian,Germany-AJ,4.335,52.52,13.4
Basque-France,Pole,4.069,51.98,19.4
Circassian,Kazakh-West,1.441,51.8,67.16
Abkhasian,Chuvash,1.504,55.33,48.74
Pashtun,Azeri,1.136,40.97,47.86
Tuscan,Yemenite-Desert,1.054,16.48,50.03
Balkar,Basque-France,2.025,43,0
Lezgin,Russia-AJ,1.609,55.75,37.62
Tabasaran,Yemenite-Highlands,0.855,14.34,44.68
Ossetian,Kyrgyz-North,1.324,43.12,81.15
Armenian,Spanish-Balearic,1.719,39.33,2.37
Mozabite,Romania-AJ,1.543,44.43,26.1
Hungary-AJ,Yemenite-Highlands,1.275,14.34,44.68
BedouinB,Russia-AJ,1.377,55.75,37.62
BedouinA,Tatar-Volga,1.059,54.19,52.71
Jew-Italian,Iranian-North,1.038,36.29,52.43
Icelandic,Tatar-Volga,5.233,54.19,52.71
Russia-AJ,Poland-AJ,73.919,52.25,21
Iranian-North,Swede,1.689,59.31,18
Sindhi,Hungary-AJ,0.988,47.5,19.08
Greek-South,Yemenite-Highlands,0.773,14.34,44.68
Uzbek-East,Adygei,1.431,44.39,39.31
Italian-Northwest,Basque-France,3.141,43,0
Greek-North,Ossetian,1.805,43.07,44.23
German,Palestinian,1.222,32.13,35.04
Russian-Arctic,Mordvin,12.224,54.49,44.21
Kabardian,Yemenite-Desert,0.762,16.48,50.03
Baloch,Yemenite-Desert,0.995,16.48,50.03
Ukranian-Central,Sardinian,1.964,40,9
Sicilian-West,Greek-South,1.858,37.9,23.7
Czechia-AJ,Egyptian,1.304,30.69,31.28
Udmurt,Spanish-Catalonia,2.635,41.68,1.66
Kazakh-West,Brahui,0.752,30.5,66.5
Norwegian,German,6.814,51.48,10.37
Slovakian,Tatar-Volga,7.409,54.19,52.71
Tuscan,Lithuania-AJ,2.48,54.68,25.32
Pashtun,Armenian,1.029,40.2,44.39
Balkar,Croat,2.16,43.63,16.84
Basque-France,Sardinian,3.296,40,9
Circassian,Lithuanian,3.644,55,23.93
Ossetian,Yemenite-Northwest,1.137,15.74,44.45
Lezgin,Bashkir,1.495,54.32,56.12
Abkhasian,Ossetian,7.783,43.07,44.23
Armenian,Druze,1.626,32.05,35.02
Tabasaran,Spanish-Balearic,2.364,39.33,2.37
Mozabite,BedouinA,1.685,31,35
Hungary-AJ,Spanish-Balearic,3.033,39.33,2.37
BedouinB,Bashkir,0.631,54.32,56.12
BedouinA,Yemenite-Desert,2.166,16.48,50.03
Sindhi,Georgian,0.848,41.96,42.06
Jew-Italian,BedouinB,1.695,31,35
Greek-South,Spanish-Balearic,2.35,39.33,2.37
Iranian-North,Brahui,1.434,30.5,66.5
Icelandic,Yemenite-Desert,1.117,16.48,50.03
Italian-Northwest,Croat,3.378,43.63,16.84
Greek-North,Turk-Northwest,2.747,40.4,28.56
Komi,Azeri,1.584,40.97,47.86
Uzbek-East,Tajik,1.801,38.41,69.6
Kabardian,Lithuania-AJ,1.645,54.68,25.32
Russia-AJ,Russian-Central,3.263,57.19,38.52
Baloch,Lithuania-AJ,1.434,54.68,25.32
Russian-Arctic,Ukraine-AJ,3.336,50.43,30.52
German,Mordvin,9.042,54.49,44.21
Sicilian-West,Estonian,3.078,58.45,25.31
Ukranian-Central,Baloch,1.499,30.5,66.5
Czechia-AJ,Komi,2.678,61.87,51.43
Udmurt,Poland-AJ,2.145,52.25,21
Norwegian,Somali,0.161,5.6,48.3
Kazakh-West,Uzbek-East,3.926,41.18,69.22
Balkar,Sicilian-West,1.476,38.02,12.52
Slovakian,Yemenite-Desert,1.062,16.48,50.03
Basque-France,Baloch,1.779,30.5,66.5
Pashtun,Pole,1.695,51.98,19.4
Tuscan,Roman-Iberia,1.88,40.67,-3.14
Ossetian,Jew-Bulgarian,1.531,42.68,23.32
Lezgin,Spanish-Catalonia,1.976,41.68,1.66
Armenian,Adygei,1.863,44.39,39.31
Circassian,Balkar,13.431,43.5,43.61
Abkhasian,Turk-Northwest,2.099,40.4,28.56
Tabasaran,Druze,1.133,32.05,35.02
Mozabite,Nogai,0.617,44.82,43.22
Sindhi,Germany-AJ,0.867,52.52,13.4
Hungary-AJ,Druze,1.816,32.05,35.02
BedouinB,Spanish-Catalonia,1.212,41.68,1.66
BedouinA,Lithuania-AJ,1.642,54.68,25.32
Greek-South,Druze,1.165,32.05,35.02
Iranian-North,Uzbek-East,0.948,41.18,69.22
Jew-Italian,Jew-Uzbek,1.92,41.31,69.29
Icelandic,Lithuania-AJ,3.295,54.68,25.32
Greek-North,Egyptian,1.24,30.69,31.28
Italian-Northwest,Sicilian-West,3.077,38.02,12.52
Komi,Armenian,1.329,40.2,44.39
Uzbek-East,Palestinian,0.661,32.13,35.04
Kabardian,Roman-Iberia,1.435,40.67,-3.14
Baloch,Roman-Iberia,1.252,40.67,-3.14
Russian-Arctic,Russia-AJ,2.987,55.75,37.62
German,Ukraine-AJ,3.367,50.43,30.52
Sicilian-West,Russian-Arctic,2.701,63.43,45.1
Czechia-AJ,Azeri,1.442,40.97,47.86
Ukranian-Central,Swede,7.733,59.31,18
Kazakh-West,Tatar-Siberia,5.254,57.75,67.71
Balkar,Udmurt,2.233,56.43,52.66
Slovakian,Lithuania-AJ,4.323,54.68,25.32
Norwegian,Czechia-AJ,2.592,50.08,14.47
Tuscan,Yemenite-Highlands,0.93,14.34,44.68
Ossetian,Hungary-AJ,1.845,47.5,19.08
Pashtun,Sardinian,0.773,40,9
Basque-France,Swede,4.483,59.31,18
Lezgin,Poland-AJ,1.705,52.25,21
Armenian,Tajik,1.26,38.41,69.6
Udmurt,Russian-Central,9.424,57.19,38.52
Tabasaran,Adygei,2.094,44.39,39.31
Abkhasian,Egyptian,1.034,30.69,31.28
Circassian,Kabardian,12.646,43.45,43.37
Sindhi,Tatar-Volga,1.226,54.19,52.71
Hungary-AJ,Adygei,2.189,44.39,39.31
Mozabite,Kyrgyz-North,0.421,43.12,81.15
Jew-Italian,Greek-North,2.137,40.64,22.94
Greek-South,Adygei,1.753,44.39,39.31
BedouinB,Poland-AJ,1.491,52.25,21
Iranian-North,Tatar-Siberia,0.725,57.75,67.71
BedouinA,Roman-Iberia,0.858,40.67,-3.14
Icelandic,Roman-Iberia,2.878,40.67,-3.14
Italian-Northwest,Udmurt,2.32,56.43,52.66
Greek-North,Komi,4.287,61.87,51.43
Uzbek-East,Mordvin,2.359,54.49,44.21
Kabardian,Yemenite-Highlands,0.779,14.34,44.68
Baloch,Yemenite-Highlands,0.85,14.34,44.68
Roman-Iberia,Yemenite-Highlands,0.781,14.34,44.68
Komi,Pole,10.641,51.98,19.4
German,Russia-AJ,3.153,55.75,37.62
Sicilian-West,Karelian,2.866,60.85,32.14
Czechia-AJ,Armenian,1.824,40.2,44.39
Kazakh-West,Spanish-Central,0.983,40.36,-3.74
Balkar,Belarus-AJ,2.078,53.9,27.57
Ukranian-Central,Brahui,1.421,30.5,66.5
Slovakian,Roman-Iberia,3.453,40.67,-3.14
Norwegian,Lezgin,2.404,42.05,48.1
Russian-Arctic,Bashkir,8.426,54.32,56.12
Tuscan,Spanish-Balearic,3.15,39.33,2.37
Basque-France,Brahui,1.484,30.5,66.5
Pashtun,Baloch,3.075,30.5,66.5
Ossetian,Georgian,4.848,41.96,42.06
Armenian,Palestinian,1.533,32.13,35.04
Lezgin,Russian-Central,2.422,57.19,38.52
Abkhasian,Komi,1.247,61.87,51.43
Tabasaran,Tajik,1.761,38.41,69.6
Circassian,Belarusian,3.535,53.64,27.47
Sindhi,Yemenite-Desert,0.64,16.48,50.03
Hungary-AJ,Tajik,1.408,38.41,69.6
Mozabite,Yemenite-Northwest,1.154,15.74,44.45
Jew-Italian,German,3.192,51.48,10.37
Greek-South,Tajik,1.306,38.41,69.6
Iranian-North,Spanish-Central,1.204,40.36,-3.74
BedouinB,Russian-Central,0.866,57.19,38.52
BedouinA,Yemenite-Highlands,2.309,14.34,44.68
Italian-Northwest,Belarus-AJ,2.904,53.9,27.57
Icelandic,Yemenite-Highlands,0.787,14.34,44.68
Greek-North,Azeri,1.685,40.97,47.86
Kabardian,Spanish-Balearic,1.919,39.33,2.37
Uzbek-East,Ukraine-AJ,1.36,50.43,30.52
Baloch,Spanish-Balearic,1.703,39.33,2.37
Roman-Iberia,Spanish-Balearic,2.833,39.33,2.37
Komi,Sardinian,1.841,40,9
Sicilian-West,Gujarati,0.611,23.2,72.7
Balkar,Sindhi,1.065,25.49,69
Czechia-AJ,Pole,4.243,51.98,19.4
Kazakh-West,Hungarian,1.757,47.49,19.07
German,Bashkir,4.578,54.32,56.12
Norwegian,Kazakh-East,1.671,44,87.46
Slovakian,Yemenite-Highlands,1.059,14.34,44.68
Ukranian-Central,Uzbek-East,2.073,41.18,69.22
Basque-France,Uzbek-East,1.117,41.18,69.22
Tuscan,Druze,1.462,32.05,35.02
Russian-Arctic,Spanish-Catalonia,3.87,41.68,1.66
Pashtun,Swede,1.645,59.31,18
Ossetian,Germany-AJ,1.734,52.52,13.4
Armenian,Mordvin,1.673,54.49,44.21
Circassian,Basque-France,1.692,43,0
Tabasaran,Palestinian,1.203,32.13,35.04
Abkhasian,Azeri,1.973,40.97,47.86
Sindhi,Lithuania-AJ,1.026,54.68,25.32
Hungary-AJ,Palestinian,1.846,32.13,35.04
Belarus-AJ,Sindhi,1.052,25.49,69
Mozabite,Jew-Bulgarian,1.848,42.68,23.32
Greek-South,Palestinian,1.336,32.13,35.04
Jew-Italian,Somali,0.373,5.6,48.3
Iranian-North,Hungarian,1.322,47.49,19.07
Greek-North,Armenian,1.867,40.2,44.39
Italian-Northwest,Sindhi,0.957,25.49,69
BedouinA,Spanish-Balearic,1.261,39.33,2.37
Icelandic,Spanish-Balearic,4.88,39.33,2.37
Kabardian,Druze,1.289,32.05,35.02
Baloch,Druze,1.144,32.05,35.02
Uzbek-East,Russia-AJ,1.218,55.75,37.62
Roman-Iberia,Druze,1.069,32.05,35.02
Komi,Baloch,1.691,30.5,66.5
Sicilian-West,Pashtun,1.151,33.49,70.5
Balkar,Italian-South,1.929,41.89,14.49
Czechia-AJ,Sardinian,2.035,40,9
Kazakh-West,Mozabite,0.327,32,3
Norwegian,Kazakh-West,1.494,51.8,67.16
German,Spanish-Catalonia,4.031,41.68,1.66
Slovakian,Spanish-Balearic,4.033,39.33,2.37
Ukranian-Central,Tatar-Siberia,3.384,57.75,67.71
Tuscan,Adygei,2.0,44.39,39.31
Basque-France,Tatar-Siberia,1.39,57.75,67.71
Pashtun,Brahui,2.434,30.5,66.5
Russian-Arctic,Poland-AJ,3.213,52.25,21
Ossetian,Tatar-Volga,2.102,54.19,52.71
Armenian,Ukraine-AJ,2.192,50.43,30.52
Kazakh-East,Kazakh-West,8.786,51.8,67.16
Sindhi,Roman-Iberia,1.769,40.67,-3.14
Circassian,Croat,2.646,43.63,16.84
Belarus-AJ,Italian-South,2.623,41.89,14.49
Tabasaran,Mordvin,2.501,54.49,44.21
Abkhasian,Armenian,2.206,40.2,44.39
Mozabite,Hungary-AJ,1.537,47.5,19.08
Hungary-AJ,Mordvin,3.515,54.49,44.21
Greek-South,Mordvin,3.419,54.49,44.21
Iranian-North,Mozabite,0.507,32,3
Greek-North,Pole,5.884,51.98,19.4
Jew-Italian,Czechia-AJ,44.992,50.08,14.47
Italian-Northwest,Italian-South,2.917,41.89,14.49
BedouinA,Druze,1.484,32.05,35.02
Icelandic,Druze,1.517,32.05,35.02
Kabardian,Adygei,13.263,44.39,39.31
Jew-Uzbek,Greek-North,1.488,40.64,22.94
Baloch,Adygei,1.544,44.39,39.31
Roman-Iberia,Adygei,1.924,44.39,39.31
Uzbek-East,Bashkir,2.977,54.32,56.12
Balkar,Tuscan,1.815,43.36,11.12
Sicilian-West,Chuvash,1.976,55.33,48.74
Czechia-AJ,Baloch,1.457,30.5,66.5
Kazakh-West,Iranian-Central,0.566,31.43,51.07
Komi,Swede,7.334,59.31,18
Norwegian,Lithuanian,7.129,55,23.93
German,Poland-AJ,3.309,52.25,21
Slovakian,Druze,1.625,32.05,35.02
Tuscan,Tajik,1.772,38.41,69.6
Ukranian-Central,Spanish-Central,3.08,40.36,-3.74
Ossetian,Yemenite-Desert,0.827,16.48,50.03
Pashtun,Uzbek-East,1.282,41.18,69.22
Basque-France,Spanish-Central,15.937,40.36,-3.74
Kazakh-East,Lithuanian,2.068,55,23.93
Armenian,Russia-AJ,1.811,55.75,37.62
Sindhi,Yemenite-Highlands,0.6,14.34,44.68
Belarus-AJ,Tuscan,2.651,43.36,11.12
Circassian,Sicilian-West,1.342,38.02,12.52
Mozabite,Georgian,0.836,41.96,42.06
Tabasaran,Ukraine-AJ,1.868,50.43,30.52
Abkhasian,Pole,1.864,51.98,19.4
Greek-South,Ukraine-AJ,2.217,50.43,30.52
Jew-Italian,Lezgin,1.481,42.05,48.1
Iranian-North,Iranian-Central,1.472,31.43,51.07
Greek-North,Sardinian,2.023,40,9
BedouinA,Adygei,1.071,44.39,39.31
Italian-Northwest,Tuscan,3.408,43.36,11.12
Icelandic,Adygei,2.597,44.39,39.31
Kabardian,Tajik,1.549,38.41,69.6
Russian-Arctic,Russian-Central,17.46,57.19,38.52
Jew-Uzbek,German,1.694,51.48,10.37
Roman-Iberia,Tajik,1.328,38.41,69.6
Balkar,Slovenian,2.519,46.15,15
Baloch,Tajik,1.765,38.41,69.6
Sicilian-West,Ossetian,1.517,43.07,44.23
Uzbek-East,Spanish-Catalonia,1.208,41.68,1.66
Kazakh-West,Romania-AJ,0.898,44.43,26.1
Czechia-AJ,Swede,3.258,59.31,18
Norwegian,Balkar,2.557,43.5,43.61
Komi,Brahui,1.391,30.5,66.5
Slovakian,Adygei,2.983,44.39,39.31
Tuscan,Palestinian,1.367,32.13,35.04
Pashtun,Tatar-Siberia,1.269,57.75,67.71
Ossetian,Lithuania-AJ,1.818,54.68,25.32
Kazakh-East,Balkar,1.585,43.5,43.61
Basque-France,Hungarian,3.002,47.49,19.07
German,Russian-Central,9.979,57.19,38.52
Ukranian-Central,Hungarian,10.045,47.49,19.07
Sindhi,Spanish-Balearic,1.134,39.33,2.37
Armenian,Bashkir,1.101,54.32,56.12
Belarus-AJ,Slovenian,3.684,46.15,15
Circassian,Udmurt,2.312,56.43,52.66
Mozabite,Germany-AJ,1.643,52.52,13.4
Abkhasian,Sardinian,1.378,40,9
Greek-South,Russia-AJ,2.007,55.75,37.62
Tabasaran,Russia-AJ,1.687,55.75,37.62
Jew-Italian,Kazakh-East,0.814,44,87.46
Greek-North,Baloch,1.537,30.5,66.5
Iranian-North,Romania-AJ,1.513,44.43,26.1
Italian-Northwest,Slovenian,3.894,46.15,15
BedouinA,Tajik,0.75,38.41,69.6
Kabardian,Palestinian,1.092,32.13,35.04
Icelandic,Tajik,2.519,38.41,69.6
Jew-Uzbek,Somali,0.25,5.6,48.3
Roman-Iberia,Palestinian,1.075,32.13,35.04
Balkar,Slovakian,3.311,48.67,19.7
Baloch,Palestinian,1.224,32.13,35.04
Sicilian-West,Turk-Northwest,1.703,40.4,28.56
Czechia-AJ,Brahui,1.111,30.5,66.5
Uzbek-East,Poland-AJ,1.125,52.25,21
Kazakh-West,BedouinA,0.369,31,35
Norwegian,Kabardian,2.317,43.45,43.37
Komi,Uzbek-East,2.714,41.18,69.22
Slovakian,Tajik,2.254,38.41,69.6
Tuscan,Mordvin,2.979,54.49,44.21
Kazakh-East,Kabardian,1.779,43.45,43.37
Ossetian,Roman-Iberia,1.515,40.67,-3.14
Pashtun,Spanish-Central,1.265,40.36,-3.74
Basque-France,Mozabite,1.923,32,3
Sindhi,Druze,0.656,32.05,35.02
Ukranian-Central,Mozabite,1.16,32,3
Hungary-AJ,Ukraine-AJ,80.885,50.43,30.52
Belarus-AJ,Slovakian,4.407,48.67,19.7
Armenian,Spanish-Catalonia,1.885,41.68,1.66
Circassian,Belarus-AJ,1.827,53.9,27.57
Mozabite,Tatar-Volga,1.003,54.19,52.71
Greek-South,Bashkir,2.035,54.32,56.12
Jew-Italian,Kazakh-West,0.9,51.8,67.16
Abkhasian,Baloch,1.298,30.5,66.5
Greek-North,Swede,4.029,59.31,18
Tabasaran,Bashkir,1.801,54.32,56.12
Italian-Northwest,Slovakian,4.503,48.67,19.7
Kabardian,Mordvin,3.023,54.49,44.21
Iranian-North,BedouinA,0.936,31,35
BedouinA,Palestinian,2.675,32.13,35.04
Icelandic,Palestinian,1.457,32.13,35.04
Balkar,Corsican,1.783,42.04,9.01
Jew-Uzbek,Czechia-AJ,2.859,50.08,14.47
Baloch,Mordvin,1.481,54.49,44.21
Sicilian-West,Egyptian,0.945,30.69,31.28
Czechia-AJ,Uzbek-East,1.155,41.18,69.22
Roman-Iberia,Mordvin,2.903,54.49,44.21
Norwegian,Belarusian,6.292,53.64,27.47
Kazakh-West,Nogai,5.028,44.82,43.22
Uzbek-East,Russian-Central,2.291,57.19,38.52
Karelian,Gujarati,0.775,23.2,72.7
Kazakh-East,Belarusian,2.273,53.64,27.47
Slovakian,Palestinian,1.637,32.13,35.04
Tuscan,Ukraine-AJ,2.623,50.43,30.52
Pashtun,Hungarian,1.491,47.49,19.07
Komi,Tatar-Siberia,7.712,57.75,67.71
Ossetian,Yemenite-Highlands,0.785,14.34,44.68
Sindhi,Adygei,1.102,44.39,39.31
Belarus-AJ,Corsican,2.51,42.04,9.01
Basque-France,Iranian-Central,1.254,31.43,51.07
Ukranian-Central,Iranian-Central,1.554,31.43,51.07
Circassian,Sindhi,1.097,25.49,69
Armenian,Poland-AJ,1.978,52.25,21
Somali,Czechia-AJ,0.407,50.08,14.47
Jew-Italian,Lithuanian,3.091,55,23.93
Mozabite,Yemenite-Desert,1.052,16.48,50.03
Greek-North,Brahui,1.411,30.5,66.5
Abkhasian,Swede,1.67,59.31,18
Greek-South,Spanish-Catalonia,2.441,41.68,1.66
Tabasaran,Spanish-Catalonia,2.249,41.68,1.66
Italian-Northwest,Corsican,4.305,42.04,9.01
Kabardian,Ukraine-AJ,1.892,50.43,30.52
Iranian-North,Nogai,1.074,44.82,43.22
Balkar,Greek-South,1.849,37.9,23.7
BedouinA,Mordvin,1.094,54.49,44.21
Sicilian-West,Komi,2.296,61.87,51.43
Jew-Uzbek,Lezgin,1.23,42.05,48.1
Icelandic,Mordvin,5.722,54.49,44.21
Czechia-AJ,Tatar-Siberia,1.203,57.75,67.71
Baloch,Ukraine-AJ,1.599,50.43,30.52
Roman-Iberia,Ukraine-AJ,2.12,50.43,30.52
Norwegian,Basque-France,4.231,43,0
Karelian,Pashtun,1.39,33.49,70.5
Kazakh-East,Basque-France,1.016,43,0
Kazakh-West,Kyrgyz-North,8.211,43.12,81.15
Ossetian,Spanish-Balearic,1.762,39.33,2.37
Tuscan,Russia-AJ,2.201,55.75,37.62
Pashtun,Mozabite,0.492,32,3
Belarus-AJ,Greek-South,2.075,37.9,23.7
Komi,Spanish-Central,3.08,40.36,-3.74
Sindhi,Tajik,1.51,38.41,69.6
Slovakian,Mordvin,9.62,54.49,44.21
Basque-France,Romania-AJ,2.743,44.43,26.1
Circassian,Italian-South,1.668,41.89,14.49
Somali,Lezgin,0.167,42.05,48.1
Armenian,Russian-Central,1.462,57.19,38.52
Ukranian-Central,Romania-AJ,5.173,44.43,26.1
Greek-North,Uzbek-East,1.209,41.18,69.22
Jew-Italian,Balkar,1.537,43.5,43.61
Mozabite,Lithuania-AJ,1.658,54.68,25.32
Abkhasian,Brahui,1.063,30.5,66.5
Greek-South,Poland-AJ,2.221,52.25,21
Italian-Northwest,Greek-South,2.128,37.9,23.7
Kabardian,Russia-AJ,1.616,55.75,37.62
Balkar,Estonian,2.93,58.45,25.31
Tabasaran,Poland-AJ,1.98,52.25,21
Hungary-AJ,Russia-AJ,69.446,55.75,37.62
Sicilian-West,Azeri,1.179,40.97,47.86
Iranian-North,Kyrgyz-North,0.681,43.12,81.15
BedouinA,Ukraine-AJ,1.587,50.43,30.52
Czechia-AJ,Spanish-Central,2.706,40.36,-3.74
Baloch,Russia-AJ,1.523,55.75,37.62
Jew-Uzbek,Kazakh-East,0.862,44,87.46
Icelandic,Ukraine-AJ,3.504,50.43,30.52
Norwegian,Croat,5.728,43.63,16.84
Roman-Iberia,Russia-AJ,1.929,55.75,37.62
Kazakh-East,Croat,1.669,43.63,16.84
Kazakh-West,Yemenite-Northwest,0.323,15.74,44.45
Karelian,Chuvash,11.495,55.33,48.74
Ossetian,Druze,1.204,32.05,35.02
Tatar-Siberia,Spanish-Central,1.297,40.36,-3.74
Pashtun,Iranian-Central,1.051,31.43,51.07
Sindhi,Palestinian,0.763,32.13,35.04
Tuscan,Bashkir,1.867,54.32,56.12
Belarus-AJ,Estonian,4.472,58.45,25.31
Somali,Kazakh-East,0.082,44,87.46
Basque-France,BedouinA,1.104,31,35
Slovakian,Ukraine-AJ,4.873,50.43,30.52
Circassian,Tuscan,1.503,43.36,11.12
Komi,Hungarian,6.951,47.49,19.07
Greek-North,Tatar-Siberia,1.586,57.75,67.71
Jew-Italian,Kabardian,1.632,43.45,43.37
Ukranian-Central,BedouinA,1.369,31,35
Mozabite,Roman-Iberia,1.336,40.67,-3.14
Italian-Northwest,Estonian,3.99,58.45,25.31
Balkar,Russian-Arctic,2.974,63.43,45.1
Abkhasian,Uzbek-East,1.05,41.18,69.22
Greek-South,Russian-Central,3.937,57.19,38.52
Kabardian,Bashkir,2.215,54.32,56.12
Iranian-North,Yemenite-Northwest,1.201,15.74,44.45
Tabasaran,Russian-Central,2.59,57.19,38.52
Sicilian-West,Armenian,1.536,40.2,44.39
Hungary-AJ,Bashkir,1.89,54.32,56.12
BedouinA,Russia-AJ,1.487,55.75,37.62
Jew-Uzbek,Kazakh-West,1.066,51.8,67.16
Czechia-AJ,Hungarian,3.89,47.49,19.07
Baloch,Bashkir,1.171,54.32,56.12
Kazakh-East,Sicilian-West,0.774,38.02,12.52
Norwegian,Sicilian-West,2.713,38.02,12.52
Kazakh-West,Jew-Bulgarian,0.735,42.68,23.32
Icelandic,Russia-AJ,3.211,55.75,37.62
Roman-Iberia,Bashkir,1.71,54.32,56.12
Karelian,Ossetian,1.911,43.07,44.23
Sindhi,Mordvin,1.361,54.49,44.21
Somali,Kazakh-West,0.042,51.8,67.16
Pashtun,Romania-AJ,1.161,44.43,26.1
Tatar-Siberia,Hungarian,2.666,47.49,19.07
Ossetian,Adygei,7.786,44.39,39.31
Tuscan,Spanish-Catalonia,3.307,41.68,1.66
Belarus-AJ,Russian-Arctic,3.378,63.43,45.1
Circassian,Slovenian,2.867,46.15,15
Basque-France,Nogai,1.792,44.82,43.22
Slovakian,Russia-AJ,4.309,55.75,37.62
Komi,Mozabite,0.988,32,3
Jew-Italian,Belarusian,3.158,53.64,27.47
Greek-North,Spanish-Central,2.409,40.36,-3.74
Mozabite,Yemenite-Highlands,0.911,14.34,44.68
Ukranian-Central,Nogai,3.406,44.82,43.22
Balkar,Karelian,2.835,60.85,32.14
Pole,Sardinian,2.65,40,9
Italian-Northwest,Russian-Arctic,3.212,63.43,45.1
Kabardian,Spanish-Catalonia,1.889,41.68,1.66
Abkhasian,Tatar-Siberia,1.055,57.75,67.71
Iranian-North,Jew-Bulgarian,1.273,42.68,23.32
Sicilian-West,Pole,2.763,51.98,19.4
Jew-Uzbek,Lithuanian,1.584,55,23.93
Kazakh-East,Udmurt,2.639,56.43,52.66
Norwegian,Udmurt,4.532,56.43,52.66
Hungary-AJ,Spanish-Catalonia,2.908,41.68,1.66
BedouinA,Bashkir,0.68,54.32,56.12
Kazakh-West,Hungary-AJ,1.07,47.5,19.08
Czechia-AJ,Mozabite,1.711,32,3
Baloch,Spanish-Catalonia,1.676,41.68,1.66
Sindhi,Ukraine-AJ,0.999,50.43,30.52
Karelian,Turk-Northwest,2.573,40.4,28.56
Roman-Iberia,Spanish-Catalonia,2.831,41.68,1.66
Icelandic,Bashkir,3.56,54.32,56.12
Somali,Lithuanian,0.184,55,23.93
Pashtun,BedouinA,0.656,31,35
Tatar-Siberia,Mozabite,0.475,32,3
Ossetian,Tajik,1.416,38.41,69.6
Belarus-AJ,Karelian,3.722,60.85,32.14
Circassian,Slovakian,2.663,48.67,19.7
Basque-France,Kyrgyz-North,0.874,43.12,81.15
Tuscan,Poland-AJ,2.312,52.25,21
Jew-Italian,Basque-France,2.515,43,0
Komi,Iranian-Central,1.411,31.43,51.07
Greek-North,Hungarian,4.713,47.49,19.07
Slovakian,Bashkir,4.852,54.32,56.12
Mozabite,Spanish-Balearic,2.153,39.33,2.37
Balkar,Gujarati,0.869,23.2,72.7
Ukranian-Central,Kyrgyz-North,1.452,43.12,81.15
Pole,Baloch,1.799,30.5,66.5
Kabardian,Poland-AJ,1.842,52.25,21
Italian-Northwest,Karelian,3.331,60.85,32.14
Iranian-North,Hungary-AJ,1.418,47.5,19.08
Abkhasian,Spanish-Central,1.432,40.36,-3.74
Kazakh-East,Belarus-AJ,1.24,53.9,27.57
Norwegian,Belarus-AJ,2.787,53.9,27.57
Sicilian-West,Sardinian,2.431,40,9
Kazakh-West,Georgian,0.651,41.96,42.06
Jew-Uzbek,Balkar,1.485,43.5,43.61
Czechia-AJ,Iranian-Central,1.32,31.43,51.07
BedouinA,Spanish-Catalonia,1.218,41.68,1.66
Veps,Norwegian,7.781,60.32,5.81
Baloch,Poland-AJ,1.63,52.25,21
Karelian,Egyptian,0.609,30.69,31.28
Sindhi,Russia-AJ,0.973,55.75,37.62
Estonian,Russian-Arctic,18.006,63.43,45.1
Somali,Balkar,0.113,43.5,43.61
Roman-Iberia,Poland-AJ,2.111,52.25,21
Pashtun,Nogai,1.159,44.82,43.22
Tatar-Siberia,Iranian-Central,1.01,31.43,51.07
Ossetian,Palestinian,1.122,32.13,35.04
Icelandic,Spanish-Catalonia,5.371,41.68,1.66
Basque-France,Yemenite-Northwest,0.902,15.74,44.45
